"event_id","journey_uid","sequence_number","event_category","event_type","occurred_at","recorded_at","truck_plate","normalized_plate","is_valid_plate","sector_code","device_code","alert_level","committee_source_journey_uid","committee_segment_index","committee_temporal_bucket","committee_operational_circuit","committee_flags","related_alert_count","related_alert_ids"
"25063","b2235664-4d5b-448f-acc2-f3160b458467__committee_seg_2","16","physical","sector_entered","2026-05-15T19:50:23.872-03:00","2026-05-15T19:50:23.872-03:00","NLR442","NLR442","true","RICARDONE_VOLCABLE","RicVolcable1","0","b2235664-4d5b-448f-acc2-f3160b458467","2","split","CIRCUITO_VOLCABLE_1_2","","0",""
"25329","b2235664-4d5b-448f-acc2-f3160b458467__committee_seg_2","17","physical","sector_entered","2026-05-15T21:16:17.694-03:00","2026-05-15T21:16:17.694-03:00","NLR442","NLR442","true","RICARDONE_VOLCABLE","RicVolcable1","0","b2235664-4d5b-448f-acc2-f3160b458467","2","split","CIRCUITO_VOLCABLE_1_2","","0",""
"25595","b2235664-4d5b-448f-acc2-f3160b458467__committee_seg_2","18","physical","sector_entered","2026-05-15T23:01:40.541-03:00","2026-05-15T23:01:40.541-03:00","NLR442","NLR442","true","RICARDONE_VOLCABLE","RicVolcable1","0","b2235664-4d5b-448f-acc2-f3160b458467","2","split","CIRCUITO_VOLCABLE_1_2","","0",""
"25821","b2235664-4d5b-448f-acc2-f3160b458467__committee_seg_2","19","physical","sector_entered","2026-05-16T00:33:59.906-03:00","2026-05-16T00:33:59.906-03:00","NLR442","NLR442","true","RICARDONE_VOLCABLE","RicVolcable1","0","b2235664-4d5b-448f-acc2-f3160b458467","2","split","CIRCUITO_VOLCABLE_1_2","","0",""
"25963","b2235664-4d5b-448f-acc2-f3160b458467__committee_seg_2","20","physical","sector_entered","2026-05-16T02:14:21.615-03:00","2026-05-16T02:14:21.615-03:00","NLR442","NLR442","true","RICARDONE_VOLCABLE","RicVolcable1","0","b2235664-4d5b-448f-acc2-f3160b458467","2","split","CIRCUITO_VOLCABLE_1_2","","0",""
"26133","b2235664-4d5b-448f-acc2-f3160b458467__committee_seg_2","21","physical","sector_entered","2026-05-16T03:52:55.803-03:00","2026-05-16T03:52:55.803-03:00","NLR442","NLR442","true","RICARDONE_VOLCABLE","RicVolcable1","0","b2235664-4d5b-448f-acc2-f3160b458467","2","split","CIRCUITO_VOLCABLE_1_2","","0",""
"27746","b2235664-4d5b-448f-acc2-f3160b458467__committee_seg_3","22","physical","sector_entered","2026-05-16T12:29:14.193-03:00","2026-05-16T12:29:14.193-03:00","NLR442","NLR442","true","RICARDONE_CELDA_16","RicC16Carga2","0","b2235664-4d5b-448f-acc2-f3160b458467","3","split","CIRCUITO_CELDA16_CARGA","","0",""
"28186","b2235664-4d5b-448f-acc2-f3160b458467__committee_seg_3","23","physical","sector_entered","2026-05-16T15:42:32.868-03:00","2026-05-16T15:42:32.868-03:00","NLR442","NLR442","true","RICARDONE_VOLCABLE","RicVolcable1","0","b2235664-4d5b-448f-acc2-f3160b458467","3","split","CIRCUITO_CELDA16_CARGA","","0",""
"28269","b2235664-4d5b-448f-acc2-f3160b458467__committee_seg_3","24","physical","sector_entered","2026-05-16T16:59:13.055-03:00","2026-05-16T16:59:13.055-03:00","NLR442","NLR442","true","RICARDONE_VOLCABLE","RicVolcable1","0","b2235664-4d5b-448f-acc2-f3160b458467","3","split","CIRCUITO_CELDA16_CARGA","","0",""
"28860","b2235664-4d5b-448f-acc2-f3160b458467__committee_seg_3","25","physical","sector_entered","2026-05-16T21:12:39.724-03:00","2026-05-16T21:12:39.724-03:00","NLR442","NLR442","true","RICARDONE_VOLCABLE","RicVolcable1","0","b2235664-4d5b-448f-acc2-f3160b458467","3","split","CIRCUITO_CELDA16_CARGA","","0",""
"29090","b2235664-4d5b-448f-acc2-f3160b458467__committee_seg_3","26","physical","sector_entered","2026-05-16T22:55:19.524-03:00","2026-05-16T22:55:19.524-03:00","NLR442","NLR442","true","RICARDONE_VOLCABLE","RicVolcable1","0","b2235664-4d5b-448f-acc2-f3160b458467","3","split","CIRCUITO_CELDA16_CARGA","","0",""
