"raw_id","journey_uid","plate","truck_plate","sector_code","device_code","site","alert_type","type_alt","reason","message","occurred_at","created_at","recorded_at","alert_level","payload_json"
"31835","","","","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T08:50:29.398668-03:00","","","{""plate"": ""IERMAN"", ""eventId"": ""RicPreIngInTr-28065"", ""deviceCode"": ""RicPreIngInTr"", ""normalizedPlate"": ""IERMAN""}"
"31834","0d340dfa-71f6-49dd-9ef4-664a5e71f269","","RNA535","RICARDONE_CALADA","RicCal03","","","","","","","2026-05-17T08:49:44.385544-03:00","","","{}"
"31833","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T08:48:19.270475-03:00","","","{""plate"": ""GR05"", ""eventId"": ""RicIngCamTrasera-28225"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""GR05""}"
"31832","056872a9-1d1e-4fd0-bbf8-7f0719ab0fa1","","GUY4058","RICARDONE_CALADA","RicCal04","","","","","","","2026-05-17T08:48:08.958055-03:00","","","{}"
"31831","056872a9-1d1e-4fd0-bbf8-7f0719ab0fa1","","GUY4058","RICARDONE_CALADA","RicCal04","","","","","","","2026-05-17T08:48:08.952817-03:00","","","{}"
"31830","5d76a3ce-9195-4a1e-9f24-c1246cbb93d7","","BHZ021","RICARDONE_CALADA","RicCal06","","","","","","","2026-05-17T08:47:59.378788-03:00","","","{}"
"31829","9b1f5e09-93d0-407e-865d-8ca35b2956c4","","KKN300","PUERTO_SAN_LORENZO_INGRESO_CAMIONES","SLZIngCamFrente","","","","","","","2026-05-17T08:47:49.308934-03:00","","","{}"
"31828","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T08:47:34.267406-03:00","","","{""plate"": ""ERMANW"", ""eventId"": ""RicIngCamTrasera-28217"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""ERMANW""}"
"31827","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T08:47:04.268259-03:00","","","{""plate"": ""PA01"", ""eventId"": ""RicIngCamTrasera-28209"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""PA01""}"
"31826","66f382eb-2e92-4623-9e0a-583f6c81167c","","VQC330","PUERTO_SAN_LORENZO_INGRESO_CAMIONES","SLZIngCamFrente","","","","","","","2026-05-17T08:46:59.301114-03:00","","","{}"
"31825","75932ef0-4e37-492d-834a-c3faf0d6b2d5","","NOE846","RICARDONE_CALADA","RicCal05","","","","","","","2026-05-17T08:46:20.592568-03:00","","","{}"
"31824","75932ef0-4e37-492d-834a-c3faf0d6b2d5","","NOE846","RICARDONE_CALADA","RicCal05","","","","","","","2026-05-17T08:46:20.58738-03:00","","","{}"
