journey_id,patente,producto,circuito,tramo_operativo,sector,planta,segment_from,segment_to,timestamp_inicio,timestamp_fin,fecha_tramo,hora_inicio,franja_horaria,color_franja,duracion_minutos,estado_ejecutivo,es_ultimo_cuarto,p75_tramo,p90_tramo,horario_fuente,horario_fuente_inicio,horario_fuente_fin
CTG_10233167730,EJE537,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-28T23:47:00,2026-06-29T03:50:00,2026-06-28,23:47,20_02,#dc2626,243,,false,334.5,351.9,truckflow,,
CTG_10233186890,AH156WG,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-28T04:30:00,2026-06-28T08:34:00,2026-06-28,04:30,02_08,#2563eb,244,,false,288.3,337.9,truckflow,,
CTG_10233163108,NAM468,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-28T22:12:00,2026-06-29T02:45:00,2026-06-28,22:12,20_02,#dc2626,273,,false,288.3,337.9,truckflow,,
CTG_10233176959,AA234NG,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T15:15:00,2026-06-29T17:53:00,2026-06-29,15:15,14_20,#16a34a,158,,false,288.3,337.9,truckflow,,
CTG_10233229018,RJS888,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T22:19:00,2026-06-30T01:09:00,2026-06-29,22:19,20_02,#dc2626,170,,false,288.3,337.9,truckflow,,
CTG_10133223175,UZY860,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T22:28:00,2026-06-30T01:35:00,2026-06-29,22:28,20_02,#dc2626,187,,false,288.3,337.9,truckflow,,
CTG_10233215147,AA004UC,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T22:31:00,2026-06-30T01:55:00,2026-06-29,22:31,20_02,#dc2626,204,,false,288.3,337.9,truckflow,,
CTG_10233217888,NGE658,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T23:08:00,2026-06-30T02:57:00,2026-06-29,23:08,20_02,#dc2626,229,,false,288.3,337.9,truckflow,,
CTG_10233214992,ISX147,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T22:32:00,2026-06-30T02:24:00,2026-06-29,22:32,20_02,#dc2626,232,,false,288.3,337.9,truckflow,,
CTG_10233166849,HOE586,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T00:14:00,2026-06-29T04:32:00,2026-06-29,00:14,20_02,#dc2626,258,,false,288.3,337.9,truckflow,,
CTG_10133191086,AA777EQ,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T09:58:00,2026-06-29T14:17:00,2026-06-29,09:58,08_14,#f97316,259,,false,288.3,337.9,truckflow,,
CTG_10233185571,DOM294,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T08:16:00,2026-06-29T12:39:00,2026-06-29,08:16,08_14,#f97316,263,,false,334.5,351.9,truckflow,,
CTG_10133189921,GCG666,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T01:39:00,2026-06-29T06:13:00,2026-06-29,01:39,20_02,#dc2626,274,,false,288.3,337.9,truckflow,,
CTG_10133202087,EVQ156,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T13:53:00,2026-06-29T18:28:00,2026-06-29,13:53,08_14,#f97316,275,,false,288.3,337.9,truckflow,,
CTG_10133189920,AG172CU,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T08:56:00,2026-06-29T13:38:00,2026-06-29,08:56,08_14,#f97316,282,,false,288.3,337.9,truckflow,,
CTG_10233204567,GGA752,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T09:23:00,2026-06-29T14:06:00,2026-06-29,09:23,08_14,#f97316,283,,false,288.3,337.9,truckflow,,
CTG_10233233450,CCT712,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T23:37:00,2026-06-30T04:20:00,2026-06-29,23:37,20_02,#dc2626,283,,false,288.3,337.9,truckflow,,
CTG_10233180926,AH355HT,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T08:35:00,2026-06-29T13:24:00,2026-06-29,08:35,08_14,#f97316,289,,false,334.5,351.9,truckflow,,
CTG_10133179564,AI211ER,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T07:21:00,2026-06-29T12:12:00,2026-06-29,07:21,02_08,#2563eb,291,,false,334.5,351.9,truckflow,,
CTG_10233171080,EWL252,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T00:12:00,2026-06-29T05:11:00,2026-06-29,00:12,20_02,#dc2626,299,,true,288.3,337.9,truckflow,,
CTG_10133189702,AH770XS,GIRASOL,R6,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T08:57:00,2026-06-29T14:02:00,2026-06-29,08:57,08_14,#f97316,305,,false,334.5,351.9,truckflow,,
CTG_10233228798,GAS911,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T19:07:00,2026-06-30T00:36:00,2026-06-29,19:07,14_20,#16a34a,329,,true,288.3,337.9,truckflow,,
CTG_10133189858,AE174UO,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-29T01:40:00,2026-06-29T07:36:00,2026-06-29,01:40,20_02,#dc2626,356,,true,288.3,337.9,truckflow,,
