external_operation_id,journey_uid,plate_normalized,product_normalized,platform_normalized,resolved_circuit_family,resolved_operational_point,segment_order_global,segment_order_journey,segment_name,segment_from,segment_to,segment_start_time,segment_end_time,segment_duration_min,segment_plant,segment_leg,truckflow_circuit_code,resolved_executive_circuit_code,truckflow_executive_status,truckflow_valid_detail,match_quality,route_quality,analysis_ready_for_scatter,analysis_warning,external_ingreso_at,external_salida_at,external_calado_at
CTG_10233184019,,FON882,GIRASOL,VOLCABLE_2,VOLCABLE,VOLCABLE_2,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T20:01:00,2026-06-28T01:43:00,342,RIC,RIC,R6,R6,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T20:01:00,2026-06-28T01:43:00,2026-06-27T20:33:00
CTG_10233183509,,EFY433,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T20:00:00,2026-06-28T02:32:00,392,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T20:00:00,2026-06-28T02:32:00,2026-06-27T20:32:00
CTG_10233185756,,AA004UC,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T20:18:00,2026-06-28T03:24:00,426,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T20:18:00,2026-06-28T03:24:00,2026-06-27T20:34:00
CTG_10233178018,,INA260,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T20:49:00,2026-06-28T04:14:00,445,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T20:49:00,2026-06-28T04:14:00,2026-06-27T21:51:00
CTG_10233188166,,GWC160,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-27T23:56:00,2026-06-28T05:56:00,360,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-27T23:56:00,2026-06-28T05:56:00,2026-06-28T01:06:00
CTG_10233187969,,HDM034,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-28T00:11:00,2026-06-28T06:43:00,392,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-28T00:11:00,2026-06-28T06:43:00,2026-06-28T01:08:00
CTG_10233189695,,TGF618,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-28T01:25:00,2026-06-28T07:41:00,376,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-28T01:25:00,2026-06-28T07:41:00,2026-06-28T04:47:00
CTG_10233184873,,ROX620,GIRASOL,VOLCABLE_2,VOLCABLE,VOLCABLE_2,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-28T04:27:00,2026-06-28T08:11:00,224,RIC,RIC,R6,R6,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-28T04:27:00,2026-06-28T08:11:00,2026-06-28T05:18:00
CTG_10233186890,,AH156WG,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-28T04:30:00,2026-06-28T08:34:00,244,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-28T04:30:00,2026-06-28T08:34:00,2026-06-28T04:54:00
CTG_10233189764,,AB042ZD,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-28T02:28:00,2026-06-28T10:01:00,453,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-28T02:28:00,2026-06-28T10:01:00,2026-06-28T04:51:00
CTG_10233186891,,FAN313,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-28T03:43:00,2026-06-28T11:00:00,437,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-28T03:43:00,2026-06-28T11:00:00,2026-06-28T04:52:00
CTG_10233186084,,DHL111,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-28T10:15:00,2026-06-28T12:41:00,146,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-28T10:15:00,2026-06-28T12:41:00,2026-06-28T11:16:00
CTG_10233189549,,PLE163,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-28T12:36:00,2026-06-28T14:54:00,138,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-28T12:36:00,2026-06-28T14:54:00,2026-06-28T13:52:00
CTG_10233185488,,DXY748,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-28T10:16:00,2026-06-28T17:54:00,458,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-28T10:16:00,2026-06-28T17:54:00,2026-06-28T11:18:00
CTG_10233188903,,BMI589,GIRASOL,VOLCABLE_1,VOLCABLE,VOLCABLE_1,1,0,ingreso → balanza egreso,INGRESO,BALANZA_EGRESO,2026-06-28T19:15:00,2026-06-28T21:10:00,115,RIC,RIC,R5,R5,,DEDUCIDO_INFERRED_ROLLUP,NO_TRUCKFLOW_EVIDENCE,ROUTE_UNKNOWN,true,NO_CAMERA_EVIDENCE_FOUND|NO_MEASURABLE_SEGMENTS|NO_CAMERA_EVIDENCE_FOUND,2026-06-28T19:15:00,2026-06-28T21:10:00,2026-06-28T20:15:00
