external_operation_id,plate_normalized,product_normalized,platform_normalized,external_ingreso_at,external_calado_at,external_salida_at,source_date,no_truckflow_reason,nearest_truckflow_journey_uid,nearest_truckflow_start_time,nearest_truckflow_end_time,nearest_time_delta_min,same_plate_journey_count,same_plate_journey_count_in_period,same_plate_journey_count_in_window,fuzzy_plate_candidates,diagnostic_detail
CTG_10233113516,AH389NA,SOJA,VOLCABLE_PTO_2,2026-06-25T15:28:00,2026-06-25T23:00:00,2026-06-26T01:34:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133113760,EOL893,SOJA,VOLCABLE_PTO_5,2026-06-25T15:22:00,2026-06-25T22:55:00,2026-06-26T01:36:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233120972,AH298ZU,SOJA,VOLCABLE_PTO_1,2026-06-25T15:59:00,2026-06-25T23:14:00,2026-06-26T01:40:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133116557,EFU878,SOJA,VOLCABLE_PTO_5,2026-06-25T16:01:00,2026-06-25T23:12:00,2026-06-26T01:41:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233103746,AC116HH,SOJA,VOLCABLE_PTO_2,2026-06-25T15:42:00,2026-06-25T23:10:00,2026-06-26T01:44:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133101533,AC268HA,SOJA,VOLCABLE_PTO_3,2026-06-25T15:29:00,2026-06-25T23:04:00,2026-06-26T01:49:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133109477,OFJ805,SOJA,VOLCABLE_PTO_3,2026-06-25T16:03:00,2026-06-25T23:15:00,2026-06-26T01:50:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233116545,GWP673,SOJA,VOLCABLE_PTO_1,2026-06-25T16:08:00,2026-06-25T23:29:00,2026-06-26T01:53:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133105951,AH923RF,SOJA,VOLCABLE_PTO_2,2026-06-25T16:09:00,2026-06-25T23:35:00,2026-06-26T01:54:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133116064,AC618UY,SOJA,VOLCABLE_PTO_2,2026-06-25T16:22:00,2026-06-25T23:50:00,2026-06-26T01:55:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133109782,GGZ947,SOJA,VOLCABLE_PTO_5,2026-06-25T16:05:00,2026-06-25T23:20:00,2026-06-26T01:57:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133115878,AC707CO,SOJA,VOLCABLE_PTO_5,2026-06-25T16:23:00,2026-06-25T23:54:00,2026-06-26T01:58:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133111365,AB606BT,SOJA,VOLCABLE_PTO_1,2026-06-25T16:22:00,2026-06-25T23:48:00,2026-06-26T01:59:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133114555,FJF767,SOJA,VOLCABLE_PTO_2,2026-06-25T16:28:00,2026-06-26T00:05:00,2026-06-26T02:04:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
