executive_circuit_code,journey_id,plate,from_logical,to_logical,transition_label,duration_min
R7,d21e51b8-488d-4cac-b677-2022e446d2a8__cycle_3,,SL_INGRESO,SL_BALANZA_INGRESO,san lorenzo ingreso → balanza de entrada,6.29
R7,d21e51b8-488d-4cac-b677-2022e446d2a8__cycle_3,,SL_BALANZA_INGRESO,SL_EGRESO,balanza de entrada → egreso,16.10
R1,0ae48048-0f7f-46b2-b43f-0f8e93f290bb__cycle_3,,INGRESO,CALADA,ingreso → calada,47.95
R1,0ae48048-0f7f-46b2-b43f-0f8e93f290bb__cycle_3,,CALADA,BALANZA_INGRESO,calada → balanza ingreso,10.84
R7,db20b7ef-bb15-4d70-ab23-1d5f63741ee6,,INGRESO,PREINGRESO,ingreso → preingreso,2.92
R7,db20b7ef-bb15-4d70-ab23-1d5f63741ee6,,PREINGRESO,CALADA,preingreso → calada,33.62
R7,db20b7ef-bb15-4d70-ab23-1d5f63741ee6,,CALADA,EGRESO,calada → egreso,140.62
R7,db20b7ef-bb15-4d70-ab23-1d5f63741ee6,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,9.26
R7,db20b7ef-bb15-4d70-ab23-1d5f63741ee6,,SL_INGRESO,SL_EGRESO,san lorenzo ingreso → egreso san lorenzo,46.27
R7,438f5dd0-fd97-4251-96ad-b1d95a6e8c93,,INGRESO,PREINGRESO,ingreso → preingreso,1.67
R7,438f5dd0-fd97-4251-96ad-b1d95a6e8c93,,PREINGRESO,CALADA,preingreso → calada,34.78
R7,438f5dd0-fd97-4251-96ad-b1d95a6e8c93,,CALADA,EGRESO,calada → egreso,10.74
R7,438f5dd0-fd97-4251-96ad-b1d95a6e8c93,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,8.90
R7,438f5dd0-fd97-4251-96ad-b1d95a6e8c93,,SL_INGRESO,SL_BALANZA_INGRESO,san lorenzo ingreso → balanza de entrada,3.20
R7,438f5dd0-fd97-4251-96ad-b1d95a6e8c93,,SL_BALANZA_INGRESO,SL_EGRESO,balanza de entrada → egreso,27.40
R7,c3d000db-296c-4866-a05a-0771f7d506f7,,INGRESO,PREINGRESO,ingreso → preingreso,2.67
R7,c3d000db-296c-4866-a05a-0771f7d506f7,,PREINGRESO,CALADA,preingreso → calada,31.77
R7,c3d000db-296c-4866-a05a-0771f7d506f7,,CALADA,EGRESO,calada → egreso,7.16
R7,c3d000db-296c-4866-a05a-0771f7d506f7,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,8.48
R7,c3d000db-296c-4866-a05a-0771f7d506f7,,SL_INGRESO,SL_EGRESO,san lorenzo ingreso → egreso san lorenzo,20.77
R7,f8542f35-9ea9-447c-b65a-8eb288c4a888,,PREINGRESO,CALADA,preingreso → calada,31.78
R7,f8542f35-9ea9-447c-b65a-8eb288c4a888,,CALADA,EGRESO,calada → egreso,18.32
R8,353b4b89-e57f-40d2-a6e0-e70a779b48a4__cycle_4,,INGRESO,PREINGRESO,ingreso → preingreso,1.50
R8,353b4b89-e57f-40d2-a6e0-e70a779b48a4__cycle_4,,PREINGRESO,LIQUIDO,preingreso → líquido,4.96
R8,353b4b89-e57f-40d2-a6e0-e70a779b48a4__cycle_4,,LIQUIDO,BALANZA_INGRESO,líquido → balanza ingreso,28.50
R7,14854b49-ce15-4e83-9f2b-69aeab7411cf,,INGRESO,EGRESO,ingreso → egreso,20.10
R7,fe50f17a-bd93-4c96-b239-0dce2e3f9a6c__cycle_3,,INGRESO,PREINGRESO,ingreso → preingreso,3.00
R7,fe50f17a-bd93-4c96-b239-0dce2e3f9a6c__cycle_3,,PREINGRESO,CALADA,preingreso → calada,58.25
R7,fe50f17a-bd93-4c96-b239-0dce2e3f9a6c__cycle_3,,CALADA,EGRESO,calada → egreso,10.51
R7,fe50f17a-bd93-4c96-b239-0dce2e3f9a6c__cycle_3,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,8.65
R7,fe50f17a-bd93-4c96-b239-0dce2e3f9a6c__cycle_3,,SL_INGRESO,SL_EGRESO,san lorenzo ingreso → egreso san lorenzo,25.10
R7,3f27c8f5-ecce-4ccd-bf1b-19b0ab526cdd,,INGRESO,PREINGRESO,ingreso → preingreso,2.00
R7,3f27c8f5-ecce-4ccd-bf1b-19b0ab526cdd,,PREINGRESO,CALADA,preingreso → calada,46.58
R7,3f27c8f5-ecce-4ccd-bf1b-19b0ab526cdd,,CALADA,EGRESO,calada → egreso,24.10
R7,29b13fa9-79c0-4bdc-9b37-19fc327f7fea,,INGRESO,PREINGRESO,ingreso → preingreso,3.17
R7,29b13fa9-79c0-4bdc-9b37-19fc327f7fea,,PREINGRESO,EGRESO,preingreso → egreso,67.01
R7,fd6ba344-f980-4d01-b0e0-6eb92e11a24c,,INGRESO,PREINGRESO,ingreso → preingreso,2.42
R7,fd6ba344-f980-4d01-b0e0-6eb92e11a24c,,PREINGRESO,CALADA,preingreso → calada,42.32
R7,fd6ba344-f980-4d01-b0e0-6eb92e11a24c,,CALADA,EGRESO,calada → egreso,68.86
R7,fd6ba344-f980-4d01-b0e0-6eb92e11a24c,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,9.32
R7,fd6ba344-f980-4d01-b0e0-6eb92e11a24c,,SL_INGRESO,SL_BALANZA_INGRESO,san lorenzo ingreso → balanza de entrada,4.07
R7,fd6ba344-f980-4d01-b0e0-6eb92e11a24c,,SL_BALANZA_INGRESO,SL_EGRESO,balanza de entrada → egreso,44.50
R8,3aceac0c-21fa-4514-a5ef-5990abe2e456__cycle_1,,INGRESO,PREINGRESO,ingreso → preingreso,2.17
R8,3aceac0c-21fa-4514-a5ef-5990abe2e456__cycle_1,,PREINGRESO,LIQUIDO,preingreso → líquido,2.12
R7,d81e9583-63f0-4b6e-b9c3-17c3f40c5379__cycle_2,,INGRESO,PREINGRESO,ingreso → preingreso,1.17
R7,d81e9583-63f0-4b6e-b9c3-17c3f40c5379__cycle_2,,PREINGRESO,CALADA,preingreso → calada,21.86
R7,d81e9583-63f0-4b6e-b9c3-17c3f40c5379__cycle_2,,CALADA,EGRESO,calada → egreso,10.49
R7,d81e9583-63f0-4b6e-b9c3-17c3f40c5379__cycle_2,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,12.23
R7,d81e9583-63f0-4b6e-b9c3-17c3f40c5379__cycle_2,,SL_INGRESO,SL_EGRESO,san lorenzo ingreso → egreso san lorenzo,26.94
R7,b9cc6980-1bd5-4956-ba98-56137d83b443,,INGRESO,PREINGRESO,ingreso → preingreso,2.33
R7,b9cc6980-1bd5-4956-ba98-56137d83b443,,PREINGRESO,CALADA,preingreso → calada,76.32
R7,b9cc6980-1bd5-4956-ba98-56137d83b443,,CALADA,EGRESO,calada → egreso,273.53
R7,384d3029-3749-4868-8e9e-856de62681f8,,INGRESO,PREINGRESO,ingreso → preingreso,3.00
R7,384d3029-3749-4868-8e9e-856de62681f8,,PREINGRESO,CALADA,preingreso → calada,75.58
R7,384d3029-3749-4868-8e9e-856de62681f8,,CALADA,EGRESO,calada → egreso,11.93
R7,384d3029-3749-4868-8e9e-856de62681f8,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,8.98
