external_operation_id,plate_normalized,resolved_executive_circuit,resolved_product,resolved_platform,cohort,riccalliq_in_truckflow,s10_liquid_in_truckflow,sl_circuit,bridge_ric_sl,truckflow_circuit_codes,excel_planta,notes
CTG_10233224516,DZS442,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133200795,AF334KE,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233210805,RTB165,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133209333,JVP489,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133206837,HQJ944,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133207070,LOW017,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
COMPROB_000400418994,OIG256,SL1,BORRA ACEITE GIRASOL REFINADO,ACEITE_OSL,sl_liquido_san_lorenzo,false,false,SL1,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233208599,AC268JB,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233215770,AE405FP,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133219956,AE393VG,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233195331,RKO441,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133209066,FJF767,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133208916,FAY883,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133194605,AF367ZH,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233211336,RZQ774,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233228798,GAS911,R5,GIRASOL,VOLCABLE_1,sin_riccalliq,false,false,,false,,RICARDONE,plate_not_in_any_journey
CTG_10133210033,AI002ZK,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233211991,CAC625,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133212562,GKA328,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133204471,AA991YQ,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133216879,AA511CC,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133201777,KJZ739,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233198002,AB483FX,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233211546,BAZ896,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133205313,RGR915,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233229018,RJS888,R5,GIRASOL,VOLCABLE_1,sin_riccalliq,false,false,,false,,RICARDONE,plate_not_in_any_journey
COMPROB_000200430874,KIS828,,CHIP DE EUCALIPTUS,PLAYA_LEÑA_Y_CHIP,sin_riccalliq,false,false,,false,,AVELLANEDA,plate_not_in_any_journey
CTG_10233230586,AG047CK,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233204173,AF238RH,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233200207,AC177GM,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133219044,KJR910,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133201736,KLF350,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233214090,HBY054,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133203125,IJR380,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133215175,HVJ385,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233226543,GLT275,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233217168,UCO090,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133223175,UZY860,R5,GIRASOL,VOLCABLE_1,sin_riccalliq,false,false,,false,,RICARDONE,plate_not_in_any_journey
CTG_10133138280,GQE601,R1,MAIZ,CELDA_171_-_CENTRO,sin_riccalliq,false,false,,false,,AVELLANEDA,plate_not_in_any_journey
CTG_30033233620,KZO646,SL2,ACEITE GIRASOL PARA REFINAR,ACEITE_PTO,sl_liquido_san_lorenzo,true,false,SL2,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_30033233681,NBK156,SL2,ACEITE GIRASOL PARA REFINAR,ACEITE_PTO,sl_liquido_san_lorenzo,true,false,SL2,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233223469,OII935,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133212106,AA244QM,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233224350,JPK171,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233227242,HJO351,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233216532,AH363CG,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233220372,PLN892,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133216325,TME614,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133187862,KLR224,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
