journey_id,patente,producto,circuito,tramo_operativo,sector,timestamp_inicio,timestamp_fin,duracion_minutos,es_stock_inicial,motivo_stock_inicial,fecha_inicio,hora_inicio,fecha_fin,hora_fin,estado_ejecutivo,planta
CTG_10133247632,KZR607,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T20:10:00,2026-07-01T23:05:00,175,false,,2026-07-01,20:10,2026-07-01,23:05,,RICARDONE
CTG_10133300177,DMF194,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T23:55:00,2026-07-02T02:51:00,176,false,,2026-07-01,23:55,2026-07-02,02:51,,RICARDONE
CTG_10133247834,AA807HC,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T19:38:00,2026-07-01T22:38:00,180,false,,2026-07-01,19:38,2026-07-01,22:38,,RICARDONE
CTG_10233252132,SNA328,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T15:12:00,2026-07-01T18:19:00,187,false,,2026-07-01,15:12,2026-07-01,18:19,,RICARDONE
CTG_10133279108,LQY813,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T20:24:00,2026-07-01T23:35:00,191,false,,2026-07-01,20:24,2026-07-01,23:35,,RICARDONE
CTG_10133258500,AA996NH,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T12:24:00,2026-07-01T15:39:00,195,false,,2026-07-01,12:24,2026-07-01,15:39,,RICARDONE
CTG_10133254882,AH464JB,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T05:48:00,2026-07-01T09:31:00,223,false,,2026-07-01,05:48,2026-07-01,09:31,,RICARDONE
CTG_10233267652,AC552SN,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T12:37:00,2026-07-01T16:24:00,227,false,,2026-07-01,12:37,2026-07-01,16:24,,RICARDONE
CTG_10233252126,AA168HR,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T07:31:00,2026-07-01T11:21:00,230,false,,2026-07-01,07:31,2026-07-01,11:21,,RICARDONE
CTG_10233255165,HQM403,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T06:12:00,2026-07-01T10:03:00,231,false,,2026-07-01,06:12,2026-07-01,10:03,,RICARDONE
CTG_10233267528,TRJ428,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T11:21:00,2026-07-01T15:16:00,235,false,,2026-07-01,11:21,2026-07-01,15:16,,RICARDONE
CTG_10133268908,KEA465,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T13:55:00,2026-07-01T17:56:00,241,false,,2026-07-01,13:55,2026-07-01,17:56,,RICARDONE
CTG_10133261182,BJW186,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T07:35:00,2026-07-01T11:43:00,248,false,,2026-07-01,07:35,2026-07-01,11:43,,RICARDONE
CTG_10133259729,FED895,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T06:17:00,2026-07-01T10:32:00,255,false,,2026-07-01,06:17,2026-07-01,10:32,,RICARDONE
CTG_10233251891,AB306AB,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T10:34:00,2026-07-01T14:51:00,257,false,,2026-07-01,10:34,2026-07-01,14:51,,RICARDONE
CTG_10133260096,OJM438,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T06:17:00,2026-07-01T10:56:00,279,false,,2026-07-01,06:17,2026-07-01,10:56,,RICARDONE
